id,label,attack_type,source_pcap,window_index,summary
11,malicious,arp_spoof,03_arp_spoof.pcap,2,"Time window #2: duration=10.0s, total_packets=1245
Protocol mix: ARP=1210, TCP=19, UDP=13, DNS=6, ICMP=1
Top source IPs: 192.168.100.51 (internal_host)=11, 192.168.100.50 (kali_attacker)=10, 192.168.100.1 (gateway)=7, 185.125.190.100=4, 62.106.94.7=1
Top dest IPs: 192.168.100.51 (internal_host)=10, 192.168.100.1 (gateway)=8, 185.125.190.100=4, 192.168.100.50 (kali_attacker)=4, 224.0.0.251=2
TCP flags: ACK=17, PSH=6, SYN=4, FIN=2
TCP distinct_dst_ports=4, top_ports=[(53, 6), (57260, 5), (80, 4), (41070, 4)]
ARP: requests=1208, replies=2, distinct_announced_IPs=2
DNS queries: count=4, examples=['_services._dns-sd._udp.local', '1.100.168.192.in-addr.arpa']
Behavioral indicators: none"
12,malicious,dhcp_poison,05_dhcp_poisoning.pcap,22,"Time window #22: duration=9.7s, total_packets=34
Protocol mix: UDP=26, DNS=15, DHCP=11, ARP=2
Top source IPs: 192.168.100.200 (internal_host)=12, 192.168.100.150 (internal_host)=8, 0.0.0.0=6, 192.168.100.50 (kali_attacker)=3, 192.168.100.1 (gateway)=3
Top dest IPs: 224.0.0.251=15, 224.0.0.22=6, 255.255.255.255=4, 192.168.100.200 (internal_host)=3, 192.168.100.150 (internal_host)=3
ARP: requests=1, replies=1, distinct_announced_IPs=2
DNS queries: count=11, examples=['_ipps._tcp.local', 'd.b.f.8.4.1.8.a.1.9.8.6.f.3.f.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa']
DHCP types: OFFER=4, DISCOVER=2, REQUEST=2, ACK=2, RELEASE=1
DHCP OFFER servers: ['192.168.100.1']
Behavioral indicators: none"
13,malicious,dns_spoof,04_dns_spoofing.pcap,3,"Time window #3: duration=6.8s, total_packets=6
Protocol mix: UDP=4, DNS=4, ARP=2
Top source IPs: 192.168.100.50 (kali_attacker)=2, 192.168.100.1 (gateway)=2
Top dest IPs: 192.168.100.1 (gateway)=2, 192.168.100.50 (kali_attacker)=2
ARP: requests=1, replies=1, distinct_announced_IPs=2
DNS queries: count=2, examples=['1.100.168.192.in-addr.arpa']
Behavioral indicators: none"
14,malicious,arp_spoof,03_arp_spoof.pcap,8,"Time window #8: duration=10.0s, total_packets=842
Protocol mix: ARP=829, UDP=12, DNS=4, ICMP=1
Top source IPs: 192.168.100.50 (kali_attacker)=9, 192.168.100.1 (gateway)=2, 192.168.100.51 (internal_host)=1, 62.106.94.7=1
Top dest IPs: 239.255.255.250=4, 192.168.100.50 (kali_attacker)=4, 192.168.100.1 (gateway)=2, 192.168.100.51 (internal_host)=1, 192.168.100.255 (internal_host)=1
ARP: requests=807, replies=22, distinct_announced_IPs=3
DNS queries: count=2, examples=['1.100.168.192.in-addr.arpa']
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:0c:29:84:7f:8a']); arp_conflict (IP 192.168.100.51 announced by MACs ['00:0c:29:7d:7f:9e', '00:0c:29:84:7f:8a']); high_arp_reply_rate (count=22)"
15,malicious,port_scan_recon,00_recon_and_scan_extra.pcap,14,"Time window #14: duration=10.0s, total_packets=233
Protocol mix: UDP=223, DNS=27, ICMP=10
Top source IPs: 192.168.100.50 (kali_attacker)=223, 192.168.100.150 (internal_host)=10
Top dest IPs: 192.168.100.150 (internal_host)=223, 192.168.100.50 (kali_attacker)=10
DNS queries: count=18, examples=['version.bind', '_services._dns-sd._udp.local']
Behavioral indicators: none"
16,malicious,port_scan_recon,01_recon_and_scan.pcap,1,"Time window #1: duration=5.4s, total_packets=516
Protocol mix: ARP=513, TCP=2, UDP=1
Top source IPs: 192.168.100.50 (kali_attacker)=1, 192.168.100.51 (internal_host)=1, 185.125.190.27=1
Top dest IPs: 62.106.94.7=1, 185.125.190.27=1, 192.168.100.51 (internal_host)=1
TCP flags: ACK=2
TCP distinct_dst_ports=2, top_ports=[(443, 1), (48958, 1)]
ARP: requests=510, replies=3, distinct_announced_IPs=3
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:50:56:c0:00:02'])"
17,malicious,port_scan_recon,01_recon_and_scan.pcap,4,"Time window #4: duration=6.6s, total_packets=261
Protocol mix: TCP=247, UDP=7, ICMP=5, DHCP=2, ARP=2, DNS=2
Top source IPs: 192.168.100.50 (kali_attacker)=138, 192.168.100.51 (internal_host)=118, 192.168.100.1 (gateway)=2, 62.106.94.7=1
Top dest IPs: 192.168.100.51 (internal_host)=135, 192.168.100.50 (kali_attacker)=121, 192.168.100.1 (gateway)=2, 62.106.94.7=1
TCP flags: SYN=122, ACK=119, RST=111, FIN=7, PSH=6
TCP distinct_dst_ports=113, top_ports=[(38550, 100), (22, 30), (7, 4), (47978, 4), (80, 1), (113, 1), (8080, 1), (53, 1), (25, 1), (135, 1)]
ARP: requests=1, replies=1, distinct_announced_IPs=2
DNS queries: count=1, examples=['51.100.168.192.in-addr.arpa']
DHCP types: REQUEST=1, ACK=1
Behavioral indicators: port_scan_signature (distinct_dst_ports=113, SYN=122, RST=111)"
18,normal,,02_normal.pcap,36,"Time window #36: duration=9.8s, total_packets=273
Protocol mix: TCP=273
Top source IPs: 192.168.100.51 (internal_host)=135, 192.168.100.1 (gateway)=8, 108.138.4.226=8, 172.217.23.131=6, 2.18.79.143=6
Top dest IPs: 192.168.100.51 (internal_host)=138, 108.138.4.226=8, 192.168.100.1 (gateway)=7, 172.217.23.131=6, 2.18.79.143=5
TCP flags: ACK=270, PSH=105, FIN=56, RST=3
TCP distinct_dst_ports=43, top_ports=[(443, 120), (45786, 8), (80, 8), (22, 7), (56400, 6), (45842, 6), (59628, 4), (39228, 4), (51314, 4), (33088, 4)]
Behavioral indicators: none"
19,malicious,arp_spoof,03_arp_spoof.pcap,17,"Time window #17: duration=10.0s, total_packets=1182
Protocol mix: ARP=1168, UDP=13, DNS=4, DHCP=2, ICMP=1
Top source IPs: 192.168.100.50 (kali_attacker)=9, 192.168.100.1 (gateway)=3, 62.106.94.7=1, 192.168.100.51 (internal_host)=1
Top dest IPs: 192.168.100.50 (kali_attacker)=5, 192.168.100.1 (gateway)=3, 192.168.100.255 (internal_host)=2, 239.255.255.250=2, 62.106.94.7=1
ARP: requests=1146, replies=22, distinct_announced_IPs=3
DNS queries: count=2, examples=['1.100.168.192.in-addr.arpa']
DHCP types: REQUEST=1, ACK=1
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:0c:29:84:7f:8a']); high_arp_reply_rate (count=22)"
20,malicious,dns_spoof,04_dns_spoofing.pcap,24,"Time window #24: duration=2.1s, total_packets=5
Protocol mix: ARP=3, UDP=2
Top source IPs: 192.168.100.50 (kali_attacker)=1, 62.106.94.7=1
Top dest IPs: 62.106.94.7=1, 192.168.100.50 (kali_attacker)=1
ARP: requests=3, replies=0, distinct_announced_IPs=1
Behavioral indicators: none"
21,normal,,02_normal.pcap,42,"Time window #42: duration=7.9s, total_packets=9
Protocol mix: TCP=8
Top source IPs: 192.168.100.51 (internal_host)=4, 151.101.130.137=4
Top dest IPs: 151.101.130.137=4, 192.168.100.51 (internal_host)=4
TCP flags: ACK=7, PSH=3, FIN=2, RST=1
TCP distinct_dst_ports=2, top_ports=[(443, 4), (59826, 4)]
Behavioral indicators: none"
22,malicious,dns_spoof,04_dns_spoofing.pcap,17,"Time window #17: duration=9.6s, total_packets=43
Protocol mix: ARP=22, UDP=16, DNS=16, ICMP=5
Top source IPs: 192.168.100.1 (gateway)=10, 192.168.100.150 (internal_host)=8, 192.168.100.50 (kali_attacker)=3
Top dest IPs: 192.168.100.1 (gateway)=11, 192.168.100.150 (internal_host)=8, 192.168.100.50 (kali_attacker)=2
ARP: requests=1, replies=21, distinct_announced_IPs=3
DNS queries: count=6, examples=['example.com', '1.100.168.192.in-addr.arpa']
Behavioral indicators: arp_conflict (IP 192.168.100.150 announced by MACs ['00:0c:29:7d:7f:9e', '00:0c:29:84:7f:8a']); high_arp_reply_rate (count=21)"
23,malicious,dhcp_poison,05_dhcp_poisoning.pcap,4,"Time window #4: duration=6.8s, total_packets=6
Protocol mix: UDP=6
Top source IPs: 192.168.100.1 (gateway)=4, 192.168.100.51 (internal_host)=1, 185.125.190.56=1
Top dest IPs: 239.255.255.250=4, 185.125.190.56=1, 192.168.100.51 (internal_host)=1
Behavioral indicators: none"
24,malicious,dhcp_poison,05_dhcp_poisoning.pcap,6,"Time window #6: duration=9.8s, total_packets=34
Protocol mix: UDP=23, DNS=12, DHCP=9, ARP=4, ICMP=2
Top source IPs: 192.168.100.200 (internal_host)=17, 0.0.0.0=6, 192.168.100.50 (kali_attacker)=6, 62.106.94.7=1
Top dest IPs: 224.0.0.251=12, 192.168.100.200 (internal_host)=5, 224.0.0.22=5, 255.255.255.255=4, 192.168.100.50 (kali_attacker)=3
ARP: requests=3, replies=1, distinct_announced_IPs=2
DNS queries: count=9, examples=['_ipps._tcp.local', 'd.b.f.8.4.1.8.a.1.9.8.6.f.3.f.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa']
DHCP types: DISCOVER=2, OFFER=2, REQUEST=2, ACK=2, RELEASE=1
Behavioral indicators: none"
25,malicious,port_scan_recon,00_recon_and_scan_extra.pcap,12,"Time window #12: duration=5.6s, total_packets=2011
Protocol mix: TCP=2001, UDP=8, DNS=6, ARP=2
Top source IPs: 192.168.100.50 (kali_attacker)=1005, 192.168.100.150 (internal_host)=1000, 192.168.100.1 (gateway)=3, 62.106.94.7=1
Top dest IPs: 192.168.100.50 (kali_attacker)=1004, 192.168.100.150 (internal_host)=1001, 192.168.100.1 (gateway)=3, 62.106.94.7=1
TCP flags: SYN=1001, ACK=1000, RST=1000
TCP distinct_dst_ports=1001, top_ports=[(57595, 1000), (22, 2), (25, 1), (995, 1), (80, 1), (256, 1), (111, 1), (443, 1), (110, 1), (21, 1)]
ARP: requests=1, replies=1, distinct_announced_IPs=2
DNS queries: count=3, examples=['150.100.168.192.in-addr.arpa', '0.debian.pool.ntp.org']
Behavioral indicators: port_scan_signature (distinct_dst_ports=1001, SYN=1001, RST=1000)"
26,malicious,port_scan_recon,00_recon_and_scan_extra.pcap,7,"Time window #7: duration=9.6s, total_packets=452
Protocol mix: TCP=438, UDP=5, ICMP=5, ARP=4, DNS=3
Top source IPs: 192.168.100.50 (kali_attacker)=234, 192.168.100.150 (internal_host)=214
Top dest IPs: 192.168.100.150 (internal_host)=230, 192.168.100.50 (kali_attacker)=214, 192.168.100.1 (gateway)=3, 62.106.94.7=1
TCP flags: SYN=220, ACK=211, RST=211, FIN=5, PSH=5
TCP distinct_dst_ports=212, top_ports=[(48277, 200), (22, 25), (1, 4), (554, 1), (993, 1), (113, 1), (1720, 1), (139, 1), (80, 1), (445, 1)]
ARP: requests=2, replies=2, distinct_announced_IPs=3
DNS queries: count=3, examples=['150.100.168.192.in-addr.arpa']
Behavioral indicators: port_scan_signature (distinct_dst_ports=212, SYN=220, RST=211)"
27,malicious,dns_spoof,04_dns_spoofing.pcap,2,"Time window #2: duration=7.9s, total_packets=6
Protocol mix: UDP=6, DNS=4
Top source IPs: 192.168.100.50 (kali_attacker)=3, 192.168.100.1 (gateway)=2, 62.106.94.7=1
Top dest IPs: 192.168.100.50 (kali_attacker)=3, 192.168.100.1 (gateway)=2, 62.106.94.7=1
DNS queries: count=2, examples=['1.100.168.192.in-addr.arpa']
Behavioral indicators: none"
28,malicious,dhcp_poison,05_dhcp_poisoning.pcap,17,"Time window #17: duration=9.8s, total_packets=33
Protocol mix: UDP=25, DNS=14, DHCP=11, ARP=2
Top source IPs: 192.168.100.200 (internal_host)=19, 0.0.0.0=6, 192.168.100.50 (kali_attacker)=4, 192.168.100.1 (gateway)=2
Top dest IPs: 224.0.0.251=14, 224.0.0.22=6, 255.255.255.255=4, 192.168.100.200 (internal_host)=4, 192.168.100.150 (internal_host)=2
ARP: requests=1, replies=1, distinct_announced_IPs=2
DNS queries: count=10, examples=['d.b.f.8.4.1.8.a.1.9.8.6.f.3.f.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa', '_ipps._tcp.local']
DHCP types: OFFER=4, DISCOVER=2, REQUEST=2, ACK=2, RELEASE=1
DHCP OFFER servers: ['192.168.100.1']
Behavioral indicators: none"
29,normal,,02_normal.pcap,24,"Time window #24: duration=9.5s, total_packets=923
Protocol mix: TCP=820, UDP=83, ICMP=20
Top source IPs: 192.168.100.51 (internal_host)=442, 208.113.158.104=68, 172.217.23.131=62, 146.75.116.157=49, 172.217.18.168=40
Top dest IPs: 192.168.100.51 (internal_host)=481, 208.113.158.104=61, 192.168.100.1 (gateway)=54, 146.75.116.157=48, 172.217.18.168=35
TCP flags: ACK=791, PSH=345, SYN=36, FIN=27, RST=11
TCP distinct_dst_ports=83, top_ports=[(443, 315), (53, 54), (34362, 48), (80, 41), (59772, 38), (46258, 37), (41678, 19), (58590, 16), (44158, 13), (56400, 12)]
Behavioral indicators: port_scan_signature (distinct_dst_ports=83, SYN=36, RST=11)"
30,normal,,02_normal.pcap,49,"Time window #49: duration=7.5s, total_packets=464
Protocol mix: TCP=460, ARP=4
Top source IPs: 192.168.100.51 (internal_host)=231, 192.168.100.1 (gateway)=229
Top dest IPs: 192.168.100.1 (gateway)=231, 192.168.100.51 (internal_host)=229
TCP flags: ACK=460, PSH=456
TCP distinct_dst_ports=2, top_ports=[(22, 231), (45786, 229)]
ARP: requests=2, replies=2, distinct_announced_IPs=2
Behavioral indicators: none"
31,malicious,arp_spoof,03_arp_spoof.pcap,9,"Time window #9: duration=10.0s, total_packets=1196
Protocol mix: ARP=1183, UDP=10, DNS=5, ICMP=2
Top source IPs: 192.168.100.50 (kali_attacker)=8, 192.168.100.51 (internal_host)=2, 192.168.100.1 (gateway)=2
Top dest IPs: 192.168.100.50 (kali_attacker)=4, 192.168.100.51 (internal_host)=2, 192.168.100.1 (gateway)=2, 239.255.255.250=2, 192.168.100.255 (internal_host)=1
ARP: requests=1162, replies=21, distinct_announced_IPs=3
DNS queries: count=3, examples=['1.100.168.192.in-addr.arpa', '_services._dns-sd._udp.local']
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:0c:29:84:7f:8a']); high_arp_reply_rate (count=21)"
32,malicious,port_scan_recon,00_recon_and_scan_extra.pcap,3,"Time window #3: duration=8.0s, total_packets=298
Protocol mix: ARP=258, UDP=16, DNS=12
Top source IPs: 192.168.100.1 (gateway)=14, 192.168.100.50 (kali_attacker)=12
Top dest IPs: 192.168.100.1 (gateway)=12, 224.0.0.22=10, 224.0.0.252=4
ARP: requests=255, replies=3, distinct_announced_IPs=2
DNS queries: count=12, examples=['150.100.168.192.in-addr.arpa', '51.100.168.192.in-addr.arpa', '1.100.168.192.in-addr.arpa', '50.100.168.192.in-addr.arpa']
Behavioral indicators: none"
33,malicious,arp_spoof,03_arp_spoof.pcap,22,"Time window #22: duration=8.6s, total_packets=848
Protocol mix: ARP=778, ICMP=32, TCP=30, UDP=8, DNS=4
Top source IPs: 192.168.100.51 (internal_host)=31, 192.168.100.1 (gateway)=16, 172.217.18.174=10, 192.168.100.50 (kali_attacker)=9, 8.8.8.8=4
Top dest IPs: 192.168.100.51 (internal_host)=30, 192.168.100.1 (gateway)=20, 172.217.18.174=10, 8.8.8.8=4, 192.168.100.50 (kali_attacker)=3
TCP flags: ACK=28, PSH=12, SYN=4
TCP distinct_dst_ports=2, top_ports=[(53, 16), (54638, 14)]
ARP: requests=758, replies=20, distinct_announced_IPs=3
DNS queries: count=2, examples=['1.100.168.192.in-addr.arpa']
Behavioral indicators: arp_conflict (IP 192.168.100.1 announced by MACs ['00:0c:29:be:56:14', '00:0c:29:84:7f:8a']); arp_conflict (IP 192.168.100.51 announced by MACs ['00:0c:29:7d:7f:9e', '00:0c:29:84:7f:8a']); high_arp_reply_rate (count=20)"
34,normal,,02_normal.pcap,50,"Time window #50: duration=7.1s, total_packets=141
Protocol mix: TCP=125, UDP=12, ICMP=4
Top source IPs: 192.168.100.51 (internal_host)=64, 34.120.208.123=53, 192.168.100.1 (gateway)=10, 142.251.38.238=10, 34.107.243.93=4
Top dest IPs: 192.168.100.51 (internal_host)=77, 34.120.208.123=40, 192.168.100.1 (gateway)=14, 142.251.38.238=6, 34.107.243.93=4
TCP flags: ACK=122, PSH=51, SYN=6, FIN=6
TCP distinct_dst_ports=6, top_ports=[(443, 44), (52316, 34), (52310, 19), (53, 14), (39132, 10), (35940, 4)]
Behavioral indicators: none"
35,normal,,02_normal.pcap,34,"Time window #34: duration=9.3s, total_packets=122
Protocol mix: TCP=116, UDP=3, ARP=2, DNS=1
Top source IPs: 192.168.100.51 (internal_host)=59, 192.168.100.1 (gateway)=7, 3.19.151.216=6, 192.178.24.35=5, 172.217.18.174=4
Top dest IPs: 192.168.100.51 (internal_host)=58, 192.168.100.1 (gateway)=8, 192.178.24.35=5, 3.19.151.216=5, 172.217.18.174=4
TCP flags: ACK=113, PSH=39, FIN=23, RST=2, SYN=2
TCP distinct_dst_ports=24, top_ports=[(443, 42), (80, 8), (22, 8), (45786, 7), (44848, 6), (35604, 4), (42112, 4), (37614, 4), (55698, 4), (34116, 4)]
ARP: requests=1, replies=1, distinct_announced_IPs=2
DNS queries: count=1, examples=['_ftp._tcp.local']
Behavioral indicators: none"
36,malicious,dhcp_poison,05_dhcp_poisoning.pcap,21,"Time window #21: duration=8.6s, total_packets=29
Protocol mix: UDP=19, DNS=10, DHCP=7, ARP=4
Top source IPs: 192.168.100.200 (internal_host)=13, 0.0.0.0=6, 192.168.100.50 (kali_attacker)=3, 192.168.100.51 (internal_host)=1, 192.168.100.1 (gateway)=1
Top dest IPs: 224.0.0.251=10, 224.0.0.22=6, 192.168.100.50 (kali_attacker)=3, 255.255.255.255=2, 192.168.100.200 (internal_host)=2
ARP: requests=2, replies=2, distinct_announced_IPs=3
DNS queries: count=6, examples=['_ipps._tcp.local', 'd.b.f.8.4.1.8.a.1.9.8.6.f.3.f.d.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa']
DHCP types: RELEASE=2, OFFER=2, DISCOVER=1, REQUEST=1, ACK=1
DHCP OFFER servers: ['192.168.100.1']
Behavioral indicators: none"
37,normal,,02_normal.pcap,3,"Time window #3: duration=10.0s, total_packets=6168
Protocol mix: UDP=5345, TCP=823
Top source IPs: 142.251.208.110=2801, 45.84.189.66=1444, 192.168.100.51 (internal_host)=1031, 172.217.23.131=302, 142.251.157.119=61
Top dest IPs: 192.168.100.51 (internal_host)=5137, 142.251.208.110=278, 172.217.23.131=171, 192.168.100.1 (gateway)=90, 45.84.189.66=66
TCP flags: ACK=784, PSH=356, SYN=56, FIN=32, RST=12
TCP distinct_dst_ports=42, top_ports=[(443, 272), (53, 90), (80, 67), (59058, 42), (52316, 32), (45554, 19), (52856, 18), (49706, 18), (34018, 17), (45562, 15)]
Behavioral indicators: port_scan_signature (distinct_dst_ports=42, SYN=56, RST=12)"
38,normal,,02_normal.pcap,27,"Time window #27: duration=9.9s, total_packets=1200
Protocol mix: UDP=626, TCP=574
Top source IPs: 192.178.24.17=495, 192.168.100.51 (internal_host)=416, 192.178.25.227=79, 192.178.24.8=57, 172.217.23.131=52
Top dest IPs: 192.168.100.51 (internal_host)=784, 192.178.24.17=160, 192.178.25.227=68, 192.178.24.8=54, 172.217.16.138=32
TCP flags: ACK=555, PSH=220, SYN=24, FIN=20, RST=7
TCP distinct_dst_ports=46, top_ports=[(443, 232), (40390, 57), (80, 46), (33990, 40), (58516, 23), (43446, 17), (53, 12), (58540, 11), (46878, 11), (40376, 10)]
Behavioral indicators: none"
